Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
1960,304.0,0.0,0.0,0.0,,0.0,0.0,51217.74165,218045.2,10.6,-13.28,2.91,23.72
1961,231.0,0.0,0.0,0.0,,0.0,0.0,57374.10617000001,192084.4,13.3,-5.93,2.85,22.96
1962,393.0,0.0,0.0,0.0,,0.0,0.0,74386.14327999999,179968.2,11.18,-3.46,2.85,22.69
1963,352.0,0.0,0.0,0.0,2998.0,0.0,0.0,77390.56958,193923.0,12.76,-10.81,2.91,22.9
1964,765.0,0.0,0.0,0.0,3078.0,0.0,0.0,80454.20135,165735.0,12.83,-2.61,3.0,23.3
1965,913.0,0.0,0.0,0.0,3207.0,0.0,0.0,71865.39549,146728.4,18.02,25.59,3.01,23.0
1966,791.0,0.0,0.0,0.0,3409.0,0.0,0.0,69607.5601,139849.6,10.51,-6.39,3.1,23.01
1967,1074.0,0.0,0.0,0.0,3488.0,0.0,0.0,49135.51567,139478.4,13.95,4.82,3.12,22.53
1968,1017.0,0.0,0.0,0.0,3724.0,0.0,0.0,46311.7162,136323.2,13.68,4.16,3.18,21.99
1969,1117.0,0.0,0.0,0.0,4036.0,0.0,0.0,46895.74296,135111.0,15.36,10.91,3.32,21.81
1970,741.0,0.0,0.0,0.0,4448.0,0.0,0.0,42929.98052,135546.0,13.3,-0.34,3.39,21.04
1971,984.0,0.0,0.0,0.0,4936.0,0.0,0.0,47428.56359,137054.0,13.66,3.82,3.6,21.42
1972,1223.0,0.0,0.0,0.0,5604.0,0.0,0.0,43823.25457,154106.0,12.73,-3.15,3.6,20.74
1973,1111.0,0.0,0.0,0.0,6472.0,0.0,0.0,47256.66746,189404.8,13.92,13.03,4.75,25.56
1974,941.0,0.0,0.0,0.0,7348.0,0.0,0.0,55828.94757,228305.4,9.73,-12.57,9.35,45.6
1975,1074.0,0.0,0.0,0.0,8186.0,0.0,0.0,59420.36714,245345.8,13.67,8.99,12.21,54.61
1976,1130.0,0.0,0.0,0.0,9300.0,0.0,0.0,61884.3076,198963.2,9.18,-11.51,13.1,55.46
1977,757.0,0.0,0.0,0.0,10381.0,0.0,0.0,65896.07272000001,192055.4,10.89,-21.48,14.4,57.2
1978,734.0,0.0,0.0,0.0,11998.0,0.0,0.0,62182.12985,181934.4,17.1,12.39,14.95,55.24
1979,802.0,0.0,0.0,0.0,13709.0,0.0,0.0,64851.74528,160822.4,11.78,3.7,25.1,82.51
1980,821.0,0.0,0.0,0.0,15311.0,0.0,0.0,104187.66634,144872.4,17.33,17.54,37.42,109.51
1981,623.0,0.0,0.0,0.0,17320.0,0.0,0.0,108861.4203,149988.0,15.23,-5.09,35.75,94.83
1982,1024.0,0.0,0.0,0.0,18365.0,0.0,0.0,98054.66522,130152.0,17.64,21.26,31.83,79.5
1983,1394.0,0.0,0.0,0.0,19752.0,0.0,0.0,75919.71376,171297.2,20.07,29.31,29.08,70.34
1984,1391.0,0.0,0.0,0.0,22147.0,0.0,0.0,88109.14846,201196.2,15.73,18.27,28.75,66.67
1985,1019.0,0.0,0.0,0.0,24083.0,0.0,0.0,96835.69132,236593.6,14.8,9.55,26.92,60.27
1986,1413.0,0.0,0.0,0.0,24282.0,0.0,0.0,104635.17261,227197.6,15.01,7.04,14.44,31.72
1987,856.0,0.0,0.0,0.0,25100.0,0.0,0.0,116386.87841,207576.2,14.79,-2.59,17.75,37.62
1988,593.0,0.0,0.0,0.0,27325.0,0.0,0.0,146704.55187999998,191492.8,11.18,-6.22,14.87,30.33
1989,562.0,0.0,0.0,0.0,28668.0,0.0,0.0,161963.17927,164807.0,9.04,-19.47,18.33,35.6
1990,508.0,0.0,0.0,0.0,31249.0,0.0,0.0,189348.27664,160103.2,12.15,-16.2,23.19,42.62
1991,627.0,0.0,0.0,0.0,33501.0,0.0,0.0,180438.40916,141908.6,13.51,-2.54,20.2,35.73
1992,602.0,0.0,0.0,0.0,35602.0,0.0,0.0,204651.50573,131776.0,13.0,-8.7,19.25,33.04
1993,860.0,0.0,0.0,0.0,38631.0,0.0,0.0,266161.44817,126561.8,15.64,13.9,16.75,27.94
1994,750.0,0.0,0.0,0.0,42591.0,0.0,0.0,312008.18084,119833.8,13.12,-6.68,15.66,25.44
1995,969.0,0.0,0.0,0.0,46746.0,0.0,0.0,279414.51478,115930.4,15.55,14.87,16.75,26.48
1996,1049.0,0.0,0.0,0.0,52016.0,0.0,0.0,278775.46749,112525.8,14.18,-4.11,20.46,31.4
1997,1344.0,0.0,0.0,0.0,55212.0,0.0,0.0,295689.99579,112038.6,16.8,16.4,18.64,27.98
1998,1315.0,0.0,0.0,0.0,61717.0,0.0,0.0,308880.56317,111354.2,17.4,17.73,11.91,17.6
1999,1255.0,0.0,0.0,0.0,65851.0,0.0,0.0,294827.60523000004,94267.4,12.43,-1.71,16.56,23.89
2000,746.0,0.0,0.0,0.0,70172.0,0.0,0.0,302188.88891,90688.8,13.53,-8.77,27.39,38.29
2001,508.0,0.0,0.0,0.0,73507.0,0.0,0.0,316851.02233,88461.6,11.69,-9.15,23.0,31.3
2002,458.0,0.0,0.0,0.0,76063.0,0.0,0.0,295223.24755,79320.8,9.04,-20.39,22.81,30.52
2003,421.0,0.0,0.0,0.0,79610.0,0.0,0.0,289847.25565,75956.8,11.53,-15.26,27.69,36.26
2004,450.0,0.0,0.0,0.0,85690.0,0.0,0.0,298102.66893000004,84848.2,15.27,2.73,37.66,47.98
2005,784.0,0.0,0.0,0.0,94475.0,0.0,0.0,321688.63593000005,96575.8,16.68,17.58,50.04,61.65
2006,747.0,0.0,0.0,0.0,106312.0,0.0,0.0,372315.03942,103878.0,14.41,-2.11,58.3,69.64
2007,539.0,0.0,0.0,0.0,115982.0,0.0,0.0,402047.7083,113216.0,11.28,-14.61,64.2,74.44
2008,668.0,0.0,0.0,24.0,116117.0,0.0,0.0,463960.21067,127588.4,11.66,-4.18,91.48,102.0
2009,835.0,0.0,0.0,160.0,113194.0,0.0,0.0,475936.96209,132976.6,11.8,-6.97,53.48,59.93
2010,696.0,0.0,0.0,448.0,117714.0,,,,,17.23,10.46,71.21,78.65
2011,1230.0,0.0,0.0,573.0,124031.0,,,,,14.71,16.41,87.04,93.21
2012,748.0,0.0,2.0,704.0,128018.0,,,,,10.69,-20.23,86.46,90.72
2013,505.0,0.0,2.0,540.0,133264.0,,,,,13.21,-8.24,91.17,94.25
2014,633.0,0.0,2.0,660.0,140296.0,,,,,13.33,-9.98,85.6,87.05
2015,,,,,147503.0,,,,,15.41,-7.06,41.85,42.53
2016,,,,,,,,,,14.2,-3.68,,
