Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB
1960.0,12466.0,0.0,0.0,0.0,,0
1961.0,12493.0,0.0,0.0,0.0,,0
1962.0,13313.0,0.0,0.0,0.0,,0
1963.0,13636.0,0.0,0.0,0.0,5707.0,0
1964.0,15005.0,0.0,0.0,0.0,6164.0,0
1965.0,16508.0,0.0,0.0,0.0,6725.0,0
1966.0,16719.0,0.0,0.0,0.0,7267.0,0
1967.0,17861.0,0.0,0.0,0.0,7639.0,0
1968.0,20447.0,0.0,0.0,0.0,8528.0,0
1969.0,27898.0,0.0,0.0,0.0,9353.0,0
1970.0,29912.0,0.0,0.0,0.0,9798.0,0
1971.0,34364.0,0.0,0.0,0.0,10864.0,0
1972.0,36478.0,0.0,0.0,0.0,12221.0,0
1973.0,28150.0,0.0,0.0,0.0,14180.0,0
1974.0,36004.0,0.0,0.0,0.0,15424.0,0
1975.0,34562.0,2.0,0.0,0.0,16823.0,0
1976.0,35384.0,2103.0,0.0,0.0,19758.0,0
1977.0,24385.0,6492.0,0.0,0.0,22047.0,0
1978.0,31911.0,1563.0,0.0,0.0,25391.0,0
1979.0,29866.0,4495.0,0.0,0.0,28372.0,0
1980.0,30222.0,5395.0,0.0,0.0,30001.0,0
1981.0,32160.0,6424.0,0.0,0.0,31590.0,0
1982.0,45223.0,4792.0,0.0,0.0,31594.0,0
1983.0,45077.0,3685.0,0.0,0.0,33727.0,0
1984.0,46635.0,4736.0,0.0,0.0,37444.0,0
1985.0,40780.0,6911.0,0.0,0.0,39446.0,0
1986.0,40771.0,7081.0,0.0,0.0,41730.0,0
1987.0,35459.0,4348.0,0.0,0.0,44594.0,0
1988.0,34674.0,6339.0,0.0,0.0,49138.0,0
1989.0,38007.0,5299.0,0.0,0.0,52610.0,0
1990.0,41240.0,6074.0,0.0,1.0,56566.0,0
1991.0,41088.0,1465.0,0.0,1.0,59441.0,0
1992.0,31719.0,4573.0,0.0,1.0,63392.0,0
1993.0,35864.0,-21.0,0.0,0.0,69409.0,0
1994.0,31220.0,0.0,0.0,0.0,75393.0,0
1995.0,40764.0,0.0,0.0,0.0,81554.0,0
1996.0,44906.0,0.0,0.0,0.0,93306.0,0
1997.0,46704.0,0.0,0.0,0.0,100363.0,0
1998.0,39902.0,0.0,0.0,20.0,105526.0,0
1999.0,45639.0,0.0,0.0,85.0,107742.0,0
2000.0,38116.0,0.0,0.0,67.0,117557.0,0
2001.0,28645.0,0.0,0.0,89.0,116653.0,0
2002.0,34413.0,0.0,0.0,376.0,121204.0,0
2003.0,33250.0,0.0,0.0,444.0,127622.0,0
2004.0,33081.0,0.0,0.0,619.0,142328.0,0
2005.0,30948.0,0.0,0.0,734.0,147535.0,0
2006.0,37850.0,0.0,0.0,931.0,163564.0,0
2007.0,33587.0,0.0,0.0,1247.0,170941.0,0
2008.0,33805.0,0.0,0.0,2575.0,180934.0,0
2009.0,33034.0,0.0,0.0,3470.0,181022.0,0
2010.0,30542.0,0.0,0.0,3920.0,191120.0,0
2011.0,42315.0,0.0,0.0,4775.0,199929.0,0
2012.0,39410.0,0.0,6.0,6343.0,196973.0,0
2013.0,33098.0,0.0,20.0,7456.0,197470.0,0
2014.0,35262.0,0.0,24.0,7555.0,203606.0,0
